EMAIL_NAME,EMAIL_SCORE,REQUIRED_SCORE,MATCHING_RULES
100.eml,2.90/5.00,(BAYES_99|HAS_AVISO_ON_BODY|HAS_LATE_ON_BODY|HAS_SISTEMA_ON_BODY|HAS_INFORMACION_ON_BODY|HAS_UVIGO_ON_BODY|HAS_ONLY_ON_BODY|HAS_SITIO_ON_BODY|HAS_NAME_ON_BODY|HAS_ALTA_ON_BODY|HAS_VIDA_ON_BODY|HAS_ISO_ON_SUBJECT|HAS_AVISO_ON_HEADER|HAS_SERVICIO_ON_BODY|HAS_DEIXAR_ON_BODY|HAS_ADMINISTRADOR_ON_BODY|HAS_DISTRIBUCION_ON_BODY|HAS_CORREO_ON_BODY|HAS_PERSONA_ON_BODY|HAS_MENSAXE_ON_BODY|HAS_LISTA_ON_BODY)
10.eml,1.70/5.00,(BAYES_99|HAS_DEIXAR_ON_BODY)
11.eml,14.99/5.00,(BAYES_99|HAS_ASEGURARSE_ON_BODY|HAS_DIRECCION_ON_BODY|HAS_RESERVADO_ON_BODY|HAS_INFORMACION_ON_BODY|HAS_UVIGO_ON_BODY|HAS_ACUERDO_ON_BODY|HAS_MENCIONADA_ON_BODY|HAS_SITIO_ON_BODY|HAS_PERTENECEN_ON_BODY|HAS_RESPECTIVO_ON_BODY|HAS_ALTA_ON_BODY|HAS_MOMENTO_ON_BODY|HAS_CURSO_ON_BODY|HAS_MENSAJE_ON_BODY|HAS_CORREO_ON_BODY|HAS_MENSAXE_ON_BODY|HAS_NUESTRA_ON_BODY)
12.eml,10.47/5.00,(BAYES_99|HAS_EUROS_ON_BODY|HAS_TIEMPO_ON_BODY|HAS_UVIGO_ON_BODY|HAS_FORMULARIO_ON_BODY|HAS_NAME_ON_BODY|HAS_SYSTEM_ON_BODY|HAS_PERSONA_ON_BODY|HAS_CONTACT_ON_BODY)
13.eml,11.29/5.00,(BAYES_99|HAS_MONEY_ON_BODY|HAS_LATE_ON_BODY|HAS_RECEIVE_ON_BODY|HAS_ONLY_ON_BODY|HAS_INSURANCE_ON_BODY|HAS_AVOID_ON_BODY|HAS_CONTACT_ON_BODY)
14.eml,8.05/5.00,(BAYES_99|HAS_WAITING_ON_BODY|HAS_NAME_ON_BODY|HAS_AVOID_ON_BODY|HAS_CONTACT_ON_BODY)
15.eml,-1.24/5.00,(HAS_AVISO_ON_BODY|HAS_OBJETIVO_ON_BODY|HAS_SISTEMA_ON_BODY|HAS_INFORMACION_ON_BODY|HAS_EMPRESA_ON_BODY|HAS_UVIGO_ON_BODY|HAS_ACUERDO_ON_BODY|HAS_CURSO_ON_BODY|HAS_VIDA_ON_BODY|HAS_ISO_ON_SUBJECT|HAS_AVISO_ON_HEADER|HAS_SERVICIO_ON_BODY|HAS_MENSAJE_ON_BODY|HAS_DEIXAR_ON_BODY|HAS_ADMINISTRADOR_ON_BODY|HAS_DISTRIBUCION_ON_BODY|HAS_CORREO_ON_BODY|HAS_COMUNIDADE_ON_BODY|HAS_PUEDEN_ON_BODY|HAS_MENSAXE_ON_BODY|HAS_LISTA_ON_BODY|HAS_DETALLE_ON_BODY)
16.eml,10.43/5.00,(HAS_NEWSLETTERS_ON_BODY|HAS_QUIERES_ON_BODY|HAS_SITIO_ON_BODY|HAS_NAME_ON_BODY|HAS_PERSONA_ON_BODY|HAS_QUIERE_ON_BODY|HAS_NUESTRA_ON_BODY|HAS_ACCOUNT_ON_BODY)
17.eml,11.23/5.00,(BAYES_95|HAS_SERVICIOS_ON_BODY|HAS_CLIENTES_ON_BODY|HAS_SISTEMA_ON_BODY|HAS_NUEVA_ON_BODY|HAS_DURANTE_ON_BODY|HAS_SERVICIO_ON_BODY|HAS_MENSAJE_ON_BODY|HAS_CORREO_ON_BODY|HAS_PUEDEN_ON_BODY|HAS_SEGURIDAD_ON_BODY|HAS_MENSAXE_ON_BODY|HAS_NUESTRA_ON_BODY|HAS_DETALLE_ON_BODY)
18.eml,1.49/5.00,(HAS_MENSAJE_ON_BODY|HAS_MENSAXE_ON_BODY|HAS_MARKET_ON_BODY)
19.eml,9.77/5.00,(HAS_CLIENTES_ON_BODY|HAS_DIRECCION_ON_BODY|HAS_ACUERDO_ON_BODY|HAS_SITIO_ON_BODY|HAS_DURANTE_ON_BODY|HAS_VIDA_ON_BODY|HAS_PERSONA_ON_BODY|HAS_NUESTRA_ON_BODY|HAS_LISTA_ON_BODY|HAS_BUSINESS_ON_BODY)
1.eml,2.05/5.00,(HAS_UVIGO_ON_BODY|HAS_NAME_ON_BODY|HAS_SYSTEM_ON_BODY|HAS_PLEASE_ON_BODY|HAS_REVIEW_ON_HEADER|HAS_CONTACT_ON_BODY)
20.eml,8.74/5.00,(BAYES_99|HAS_AVISO_ON_BODY|HAS_AYUDAMOS_ON_BODY|HAS_OBJETIVO_ON_BODY|HAS_SERVICIOS_ON_BODY|HAS_TIEMPO_ON_BODY|HAS_EMPRESA_ON_BODY|HAS_UVIGO_ON_BODY|HAS_SITIO_ON_BODY|HAS_VIDA_ON_BODY|HAS_SERVICIO_ON_BODY|HAS_CORREO_ON_BODY|HAS_PERSONA_ON_BODY|HAS_NUESTRA_ON_BODY|HAS_CONTACT_ON_BODY|HAS_LISTA_ON_BODY)
21.eml,3.00/5.00,(BAYES_99)
22.eml,5.93/5.00,(BAYES_99|HAS_PLEASE_ON_BODY|HAS_CONTACT_ON_BODY)
23.eml,3.73/5.00,(BAYES_60|HAS_LATE_ON_BODY|HAS_RECEIVE_ON_BODY|HAS_UVIGO_ON_BODY|HAS_SITIO_ON_BODY|HAS_DAVID_ON_BODY|HAS_PLEASE_ON_BODY|HAS_IMAGES_ON_BODY)
24.eml,13.06/5.00,(BAYES_99|HAS_SERVICIOS_ON_BODY|HAS_CLIENTES_ON_BODY|HAS_INFORMACION_ON_BODY|HAS_SITIO_ON_BODY|HAS_BBVA_ON_BODY|HAS_NUEVA_ON_BODY|HAS_SERVICIO_ON_BODY|HAS_IMAGES_ON_BODY|HAS_NUESTRA_ON_BODY|HAS_CONTACT_ON_BODY)
25.eml,0.00/5.00,()
26.eml,-2.40/5.00,(BAYES_99|HAS_AVISO_ON_BODY|HAS_SISTEMA_ON_BODY|HAS_INFORMACION_ON_BODY|HAS_UVIGO_ON_BODY|HAS_ONLY_ON_BODY|HAS_SITIO_ON_BODY|HAS_NAME_ON_BODY|HAS_GALEGO_ON_BODY|HAS_DURANTE_ON_BODY|HAS_ISO_ON_SUBJECT|HAS_AVISO_ON_HEADER|HAS_CAMPUS_ON_HEADER|HAS_SERVICIO_ON_BODY|HAS_DEIXAR_ON_BODY|HAS_ADMINISTRADOR_ON_BODY|HAS_DISTRIBUCION_ON_BODY|HAS_CORREO_ON_BODY|HAS_PERSONA_ON_BODY|HAS_MENSAXE_ON_BODY|HAS_LISTA_ON_BODY)
27.eml,11.93/5.00,(HAS_SERVICIOS_ON_BODY|HAS_RECEIVE_ON_BODY|HAS_RECIPIENT_ON_BODY|HAS_TIEMPO_ON_BODY|HAS_ONLY_ON_BODY|HAS_SITIO_ON_BODY|HAS_NAME_ON_BODY|HAS_SYSTEM_ON_BODY|HAS_NUEVA_ON_BODY|HAS_SERVICIO_ON_BODY|HAS_ORIGINAL_ON_BODY|HAS_CAJA_ON_BODY)
28.eml,11.70/5.00,(BAYES_95|HAS_INFORMACION_ON_BODY|HAS_TIEMPO_ON_BODY|HAS_EMPRESA_ON_BODY|HAS_MOMENTO_ON_BODY|HAS_VUESTRO_ON_BODY|HAS_NUESTRA_ON_BODY|HAS_DETALLE_ON_BODY)
29.eml,11.62/5.00,(BAYES_99|HAS_INFORMACION_ON_BODY|HAS_TIEMPO_ON_BODY|HAS_MOMENTO_ON_BODY|HAS_VUESTRO_ON_BODY|HAS_NUESTRA_ON_BODY|HAS_DETALLE_ON_BODY)
2.eml,-5.71/5.00,(HAS_ESCOLA_ON_BODY|HAS_SISTEMA_ON_BODY|HAS_INFORMACION_ON_BODY|HAS_UVIGO_ON_BODY|HAS_SITIO_ON_BODY|HAS_ISO_ON_SUBJECT|HAS_SERVICIO_ON_BODY|HAS_MENSAJE_ON_BODY|HAS_DEIXAR_ON_BODY|HAS_ADMINISTRADOR_ON_BODY|HAS_DISTRIBUCION_ON_BODY|HAS_CORREO_ON_BODY|HAS_MENSAXE_ON_BODY|HAS_LISTA_ON_BODY)
30.eml,5.77/5.00,(HAS_EUROS_ON_BODY|HAS_RESIDENTES_ON_BODY|HAS_DIRECCION_ON_BODY|HAS_INFORMACION_ON_BODY|HAS_SITIO_ON_BODY|HAS_CORREO_ON_BODY|HAS_NUESTRA_ON_BODY)
31.eml,11.70/5.00,(BAYES_95|HAS_INFORMACION_ON_BODY|HAS_TIEMPO_ON_BODY|HAS_EMPRESA_ON_BODY|HAS_MOMENTO_ON_BODY|HAS_VUESTRO_ON_BODY|HAS_NUESTRA_ON_BODY|HAS_DETALLE_ON_BODY)
32.eml,5.39/5.00,(BAYES_99|HAS_PODO_ON_BODY|HAS_AMIGO_ON_BODY|HAS_SITIO_ON_BODY|HAS_NAME_ON_BODY|HAS_NUEVA_ON_BODY|HAS_VIDA_ON_BODY|HAS_CORREO_ON_BODY|HAS_PERSONA_ON_BODY)
33.eml,3.00/5.00,(BAYES_99)
34.eml,0.00/5.00,()
